Name,Team,Number,Position,Age,Height,Weight,College,Salary
Jeremy Lin,Charlotte Hornets,7,PG,27,204.3601585,200,Harvard,2139000
Kemba Walker,Charlotte Hornets,15,PG,26,186.5612146,184,Connecticut,12000000
Marvin Williams,Charlotte Hornets,2,PF,29,192.7060393,237,North Carolina,7000000
Cody Zeller,Charlotte Hornets,40,C,23,179.7107105,240,Indiana,4204200
Chris Bosh,Miami Heat,1,PF,32,179.1464952,235,Georgia Tech,22192730
Luol Deng,Miami Heat,9,SF,31,159.0181569,220,Duke,10151612
Goran Dragic,Miami Heat,7,PG,30,168.4596146,190,,14783000
Gerald Green,Miami Heat,14,SF,30,185.7489245,205,,947276
Udonis Haslem,Miami Heat,40,PF,36,215.4848858,235,Florida,2854940
Joe Johnson,Miami Heat,2,SF,34,182.8130246,240,Arkansas,261894
Tyler Johnson,Miami Heat,8,SG,24,182.2420182,186,Fresno State,845059
Josh McRoberts,Miami Heat,4,PF,29,203.3614182,240,Duke,5543725
Josh Richardson,Miami Heat,0,SG,22,179.4349111,200,Tennessee,525093
Amar'e Stoudemire,Miami Heat,5,PF,33,220.6648989,245,,947276
Dwyane Wade,Miami Heat,3,SG,34,180.4748747,220,Marquette,20000000
Briante Weber,Miami Heat,12,PG,23,190.0732379,165,Virginia Commonwealth,
Hassan Whiteside,Miami Heat,21,C,26,180.7013898,265,Marshall,981348
Justise Winslow,Miami Heat,20,SF,20,183.973675,225,Duke,2481720
Dorell Wright,Miami Heat,11,SF,30,184.329836,205,,
Dewayne Dedmon,Orlando Magic,3,C,26,196.5349374,245,USC,947276
Evan Fournier,Orlando Magic,10,SG,23,211.6022946,205,,2288205
Aaron Gordon,Orlando Magic,0,PF,20,229.1127216,220,Arizona,4171680
Mario Hezonja,Orlando Magic,23,SG,21,174.833335,218,,3741480
Ersan Ilyasova,Orlando Magic,7,PF,29,192.1508656,235,,7900000
Brandon Jennings,Orlando Magic,55,PG,26,206.3247261,169,,8344497
Devyn Marble,Orlando Magic,11,SF,23,189.8001626,200,Iowa,845059
Shabazz Napier,Orlando Magic,13,PG,24,199.9779862,175,Connecticut,1294440
Andrew Nicholson,Orlando Magic,44,PF,26,201.915989,250,St. Bonaventure,2380593
Victor Oladipo,Orlando Magic,5,SG,24,205.7338726,210,Indiana,5192520
Elfrid Payton,Orlando Magic,4,PG,22,164.2950261,185,Louisiana-Lafayette,2505720
Jason Smith,Orlando Magic,14,PF,30,201.3936334,240,Colorado State,4300000
Nikola Vucevic,Orlando Magic,9,C,25,173.3695574,260,USC,11250000
C.J. Watson,Orlando Magic,32,PG,32,184.773142,175,Tennessee,5000000
Alan Anderson,Washington Wizards,6,SG,33,195.4847517,220,Michigan State,4000000
Bradley Beal,Washington Wizards,3,SG,22,189.4492136,207,Florida,5694674
Jared Dudley,Washington Wizards,1,SF,30,191.2003145,225,Boston College,4375000
Jarell Eddie,Washington Wizards,8,SG,24,213.1064051,218,Virginia Tech,561716
Drew Gooden,Washington Wizards,90,PF,34,165.524601,250,Kansas,3300000
Marcin Gortat,Washington Wizards,13,C,32,200.0233653,240,,11217391
JJ Hickson,Washington Wizards,21,C,27,167.2647302,242,North Carolina State,273038
Nene Hilario,Washington Wizards,42,C,33,179.0401197,250,,13000000
Markieff Morris,Washington Wizards,5,PF,26,171.8367767,245,Kansas,8000000
Kelly Oubre Jr.,Washington Wizards,12,SF,20,193.5815257,205,Kansas,1920240
Otto Porter Jr.,Washington Wizards,22,SF,23,196.9911667,198,Georgetown,4662960
Ramon Sessions,Washington Wizards,7,PG,30,201.4379336,190,Nevada,2170465
Garrett Temple,Washington Wizards,17,SG,30,218.8163809,195,LSU,1100602
Marcus Thornton,Washington Wizards,15,SF,29,221.3713422,205,LSU,200600
John Wall,Washington Wizards,2,PG,25,180.8301056,195,Kentucky,15851950
Darrell Arthur,Denver Nuggets,0,PF,28,189.9571331,235,Kansas,2814000
D.J. Augustin,Denver Nuggets,12,PG,28,183.2980064,183,Texas,3000000
Will Barton,Denver Nuggets,5,SF,25,189.3810668,175,Memphis,3533333
Wilson Chandler,Denver Nuggets,21,SF,29,193.3903947,225,DePaul,10449438
Kenneth Faried,Denver Nuggets,35,PF,26,205.898002,228,Morehead State,11235955
Danilo Gallinari,Denver Nuggets,8,SF,27,261.9779345,225,,14000000
Gary Harris,Denver Nuggets,14,SG,21,211.9388949,210,Michigan State,1584480
Nikola Jokic,Denver Nuggets,15,C,21,178.2606323,250,,1300000
Joffrey Lauvergne,Denver Nuggets,77,C,24,185.130758,220,,1709719
Mike Miller,Denver Nuggets,3,SG,36,174.8146311,218,Florida,947276
Emmanuel Mudiay,Denver Nuggets,0,PG,20,211.1208906,200,,3102240
Jameer Nelson,Denver Nuggets,1,PG,34,170.0283401,190,Saint Joseph's,4345000
Jusuf Nurkic,Denver Nuggets,23,C,21,198.3099294,280,,1842000
JaKarr Sampson,Denver Nuggets,9,SG,23,177.3545637,214,St. John's,258489
Axel Toupane,Denver Nuggets,6,SG,23,183.6949852,210,,
Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,195.5079452,240,,3950001
Gorgui Dieng,Minnesota Timberwolves,5,C,26,191.3107368,241,Louisville,1474440
Kevin Garnett,Minnesota Timberwolves,21,PF,40,208.7025195,240,,8500000
Tyus Jones,Minnesota Timberwolves,1,PG,20,168.8208508,195,Duke,1282080
Zach LaVine,Minnesota Timberwolves,8,PG,21,188.8939148,189,UCLA,2148360
Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,198.1120539,223,UCLA,2056920
Adreian Payne,Minnesota Timberwolves,33,PF,25,196.5807927,237,Michigan State,1938840
Nikola Pekovic,Minnesota Timberwolves,14,C,30,201.4209348,307,,12100000
Tayshaun Prince,Minnesota Timberwolves,12,SF,36,181.7093082,212,Kentucky,947276
Ricky Rubio,Minnesota Timberwolves,9,PG,25,167.9561898,194,,12700000
Damjan Rudez,Minnesota Timberwolves,10,SF,29,182.5248618,230,,1149500
Greg Smith,Minnesota Timberwolves,4,PF,25,187.2783378,250,Fresno State,
Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,177.6628591,244,Kentucky,5703600
Andrew Wiggins,Minnesota Timberwolves,22,SG,21,215.702811,199,Kansas,5758680
Steven Adams,Oklahoma City Thunder,12,C,22,204.6603875,255,Pittsburgh,2279040
Nick Collison,Oklahoma City Thunder,4,PF,35,202.7630755,255,Kansas,3750000
Kevin Durant,Oklahoma City Thunder,35,SF,27,174.7479839,240,Texas,20158622
Randy Foye,Oklahoma City Thunder,6,SG,32,180.2397351,213,Villanova,3135000
Josh Huestis,Oklahoma City Thunder,34,SF,24,206.6068793,230,Stanford,1140240
Serge Ibaka,Oklahoma City Thunder,9,PF,26,200.5271198,245,,12250000
Enes Kanter,Oklahoma City Thunder,11,C,24,184.2602576,245,Kentucky,16407500
Mitch McGary,Oklahoma City Thunder,33,PF,24,147.1818185,255,Michigan,1463040
Nazr Mohammed,Oklahoma City Thunder,13,C,38,165.8328415,250,Kentucky,222888
Anthony Morrow,Oklahoma City Thunder,2,SG,30,191.0142929,210,Georgia Tech,3344000
Cameron Payne,Oklahoma City Thunder,22,PG,21,175.5539196,185,Murray State,2021520
Andre Roberson,Oklahoma City Thunder,21,SG,24,224.2883792,210,Colorado,1210800
Kyle Singler,Oklahoma City Thunder,5,SF,28,173.1712462,228,Duke,4500000
Dion Waiters,Oklahoma City Thunder,3,SG,24,206.7021464,220,Syracuse,5138430
Russell Westbrook,Oklahoma City Thunder,0,PG,27,162.6392303,200,UCLA,16744218
Cliff Alexander,Portland Trail Blazers,34,PF,20,155.8609966,240,Kansas,525093
Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,194.0627567,215,Wake Forest,8042895
Pat Connaughton,Portland Trail Blazers,5,SG,23,213.6408625,206,Notre Dame,625093
Allen Crabbe,Portland Trail Blazers,23,SG,24,197.414914,210,California,947276
Ed Davis,Portland Trail Blazers,17,C,27,181.863544,240,North Carolina,6980802
Maurice Harkless,Portland Trail Blazers,4,SF,23,196.2571771,215,St. John's,2894059
Gerald Henderson,Portland Trail Blazers,9,SG,28,196.8672211,215,Duke,6000000
Chris Kaman,Portland Trail Blazers,35,C,34,223.0976597,265,Central Michigan,5016000
Meyers Leonard,Portland Trail Blazers,11,PF,24,193.1694223,245,Illinois,3075880
Damian Lillard,Portland Trail Blazers,0,PG,25,184.4586377,195,Weber State,4236287
C.J. McCollum,Portland Trail Blazers,3,SG,24,162.4580172,200,Lehigh,2525160
Luis Montero,Portland Trail Blazers,44,SG,23,157.8761437,185,Westchester CC,525093
Mason Plumlee,Portland Trail Blazers,24,C,26,167.7215369,235,Duke,1415520
Brian Roberts,Portland Trail Blazers,2,PG,30,177.1290673,173,Dayton,2854940
Noah Vonleh,Portland Trail Blazers,21,PF,20,164.7506656,240,Indiana,2637720
Trevor Booker,Utah Jazz,33,PF,28,189.3757077,228,Clemson,4775000
Trey Burke,Utah Jazz,3,PG,23,189.4889017,191,Michigan,2658240
Alec Burks,Utah Jazz,10,SG,24,169.5274282,214,Colorado,9463484
Dante Exum,Utah Jazz,11,PG,20,224.4298816,190,,3777720
Derrick Favors,Utah Jazz,15,PF,24,206.6527747,265,Georgia Tech,12000000
Rudy Gobert,Utah Jazz,27,C,23,214.5499922,245,,1175880
Gordon Hayward,Utah Jazz,20,SF,26,183.6001727,226,Butler,15409570
Rodney Hood,Utah Jazz,5,SG,23,185.278063,206,Duke,1348440
Joe Ingles,Utah Jazz,2,SF,28,182.066587,226,,2050000
Chris Johnson,Utah Jazz,23,SF,26,157.8938139,206,Dayton,981348
Trey Lyles,Utah Jazz,41,PF,20,219.1035035,234,Kentucky,2239800
Shelvin Mack,Utah Jazz,8,PG,26,182.7549631,203,Butler,2433333
Raul Neto,Utah Jazz,25,PG,24,198.8986433,179,,900000
Tibor Pleiss,Utah Jazz,21,C,26,216.63174,256,,2900000
Jeff Withey,Utah Jazz,24,C,26,192.5738081,231,Kansas,947276
